"Article","Summary","Stance","Error"
"He would go upstairs, on the premise that he was saying a prayer with his niece, then sexually abuse her.
Now in her 30s, Karen wasn't understood when she first told her parents what her uncle, Mark Sewell, was doing.
Sewell was also the son of a trusted older member of the local Jehovah's Witnesses congregation, known as an elder.
Christian churches, as well as other religions, have faced claims of child abuse.
But what is striking about the Jehovah's Witnesses is their explicit policy of dealing with abuse in-house.
Because of their practice of following the Bible literally, they insist there must be two witnesses to a crime, often not the case in child abuse cases.
However, in Karen's case a second witness did come forward: Wendy, a family friend and fellow member of the Barry congregation in south Wales. She had been raped by the same man.
When she reported the crime to elders, Wendy was made to describe it in minute detail to a group of older men.
Later, she had to give her account again in the same room as Sewell.
Afterwards, the elders told her that as it was only her account against that of Sewell, nothing more could be done.
This bringing together of the accused and the accuser in a ""judicial committee"" is a common feature of Jehovah's Witnesses' justice.
Karen, still a teenager at the time, was put through the process.
The elders also ruled that their separate accusations didn't constitute the required two witnesses.
Despite a pattern of predatory sexual behaviour, it took more than two decades to bring Wendy and Karen's abuser to justice.
He is now serving a 14-year prison sentence.
His punishment from the Jehovah's Witnesses? There wasn't one.
Even when the case came to court, the organisation was reluctant to co-operate.
Karen's father, John Viney, who was also an elder in the Barry congregation, says that elders who knew of Sewell's conduct and were asked to give statements or evidence in court did not want to get involved.
In a programme for Radio 4's The Report, we have identified this lack of co-operation in several other similar cases.
Confidential documents from the Watchtower Bible and Tract Society of Britain - the official name for the Jehovah's Witnesses - that we have seen are explicit about the best way to deal with such matters being within the congregation.
Nowhere in the hundreds of pages we have seen are elders told that they must go to the police, even if the perpetrator confesses, unless state or national law makes it mandatory to report such allegations.
The Jehovah's Witnesses' UK leadership declined to talk to us for the programme.
In a statement, they said they were appealing against a recent High Court ruling in the UK that awarded substantial damages against the organisation for failing to protect a child from sexual abuse by a paedophile.
Their statement also insists that the organisation does take child abuse extremely seriously.
Karen Morgan and Wendy are now pursuing a civil claim against the organisation, hoping that further financial penalty may force the leadership of the Jehovah's Witnesses to change its policies.
For both of them, what made it even harder was the sense that belonging to the Jehovah's Witnesses was part of an all-encompassing lifestyle, with members encouraged to socialise and marry within the group.
The organisation has some eight million members around the world, but as Karen found to her cost, those who decide to have a boyfriend or girlfriend who is not a member may find themselves ""disfellowshipped"" or shunned.
Jehovah's Witnesses are not the only religious organisation to try to deal with allegations of sexual abuse in-house.
For many decades, that was the preferred method of the Roman Catholic Church, which has since reformed its child safeguarding policies following numerous court cases in the US and Europe against priests for the sexual abuse of children.
Other churches have also tightened up their child safeguarding policies, with the Methodist Church conducting its own recent inquiry into abuse allegations dating back to 1950.
That inquiry has led to calls for the Church of England to hold a fresh internal inquiry of its own, separately from the overarching national public inquiry that has just begun, and from the investigation it published in 2010, which critics termed inadequate.
However, it is the more closed religious communities and new religious movements where it remains hardest for the victims of such abuse to speak out and gain access to secular justice, although awareness of the issue is growing.
Only this month, an ultra-Orthodox Jewish scholar from Manchester - who fled to Israel after he was exposed as a paedophile - was jailed for 13 years.
Todros Grynhaus was deported by the Israeli authorities to face justice in the UK, with his conviction for sex offences against girls leading to a change in attitudes in the Haredi Jewish community.
The case prompted the UK's Chief Rabbi, Ephraim Mirvis, to urge members to report child sex abuse.
The court had heard that both women who testified against Grynhaus in the case had been ""ostracised"" by their community as a result of speaking out about their ordeal.
For young Muslim girls, the price of speaking out about child sexual abuse can also be high, with many reluctant to report such abuse because of the fear that it would bring shame on them and their family.
Sexual and physical abuse at Islamic religious schools, known as madrassas, has also resulted in some prosecutions in recent years, although often victims still hesitate to come forward with such allegations.
Many religious organisations will find themselves being closely scrutinised in the national independent inquiry into child sexual abuse,  chaired by New Zealand judge Lowell Goddard.
The survivors of such abuse hope that the inquiry will prove itself truly independent, and help ensure that abusers will not be able to rely on their own congregations or religious leaders to protect them - whatever their faith.
The Inquiry will investigate a wide range of institutions including:
Local authorities
The police
The Crown Prosecution Service
The Immigration Service
The BBC
The armed forces
Schools
Hospitals
Children's homes
Churches, mosques and other religious organisations
Charities and voluntary organisations
Full details of the inquiry
Caroline Wyatt's investigation will be broadcast in Radio 4's The Report at 20:00 BST on Thursday, 23 July.","The text details the challenges of addressing child sexual abuse within religious organizations, focusing on the Jehovah's Witnesses. Victims like Karen and Wendy were sexually abused by Mark Sewell, but the JW elders dismissed their separate accusations, citing a ""two-witness"" policy, and protected Sewell. This internal handling, often seen in other religions too, discourages reporting and makes victims' pursuit of justice difficult due to community pressures. A national inquiry and civil claims now seek to ensure abusers cannot rely on religious leaders for protection.","נייטרלי",""
"Mr Varoufakis said Greece was subject to a programme that will ""go down in history as the greatest disaster of macroeconomic management ever"".
The German parliament approved the opening of negotiations on Friday.
The bailout could total €86bn (£60bn) in exchange for austerity measures.
In a damning assessment, Mr Varoufakis told the BBC's Mark Lobel: ""This programme is going to fail whoever undertakes its implementation.""
Asked how long that would take, he replied: ""It has failed already.""
Mr Varoufakis resigned earlier this month, in what was widely seen as a conciliatory gesture towards the eurozone finance ministers with whom he had clashed frequently.
He said Greek Prime Minister Alexis Tsipras, who has admitted that he does not believe in the bailout, had little option but to sign.
""We were given a choice between being executed and capitulating. And he decided that capitulation was the optimal strategy.""
Mr Tsipras has announced a cabinet reshuffle, sacking several ministers who voted against the reforms in parliament this week.
But he opted not to bring in technocrats or opposition politicians as replacements.
As a result, our correspondent says, Mr Tsipras will preside over ministers who, like himself, harbour serious doubts about the reform programme.
Greece must pass further reforms on Wednesday next week to secure the bailout.
Germany was the last of the eurozone countries needing parliamentary approval to begin the talks.
But the head of the group of eurozone finance ministers, Jeroen Dijsselbloem, has warned that the process will not be easy, saying he expected the negotiations to take four weeks.
On Saturday, the Greek government ordered banks to open on Monday following three weeks of closures.
But the decree stated that the weekly withdrawal limit should be a maximum €420.
Separately, the European Council approved the €7bn bridging loan for Greece from an EU-wide emergency fund. The loan was approved in principle by eurozone ministers on Thursday and now has the go-ahead from all non-euro states.
It means Greece will now be able to repay debts to two of its creditors, the ECB and International Monetary Fund (IMF), due on Monday.","Former Greek finance minister Varoufakis called the new €86bn bailout a ""disaster"" and ""capitulation,"" predicting its failure. German parliament approved negotiations, despite Greek PM Tsipras's own doubts, who reshuffled his cabinet while retaining skeptical ministers. Greece must pass more reforms next week to secure the bailout. Banks will reopen Monday with a €420 weekly withdrawal limit. A €7bn bridging loan was also approved for Greece to repay debts to the ECB and IMF.","נייטרלי",""
"The IPC opened proceedings against the National Paralympic Committee of Russia after a report claimed the country had operated a widespread doping programme.
A decision on any ban will come in the week commencing 1 August.
The International Olympic Committee (IOC) has opted against a blanket ban.
""I can assure you that our board will take the right decision in the interest of sport and the interest of the Paralympic movement moving forward,"" said Craven.
On Sunday, the IOC said it would leave it up to the governing bodies of individual sports to decide if Russian competitors are clean and should be allowed to take part.
But Craven, himself a member of the IOC, was critical of that decision and said the IPC would not necessarily follow suit.
""I am disappointed in their decision, but that is a personal view,"" he added.
""We have to acknowledge their right to take such a decision. This is ultra-serious. I don't think there has been a situation in the past where you have had institutional doping on such a scale.
""We believe the Russian NPC is either unwilling or unable to uphold the IPC anti-doping code, which is in line with the World Anti-Doping Agency code, so that is what they have to respond to.""
Canadian law professor Richard McLaren's report, published last week, claimed Russia operated a state-sponsored doping programme from 2011 to 2015.
The IPC said it acted after McLaren provided the names of the athletes associated with the 35 ""disappearing positive samples"" from the Moscow laboratory highlighted in the report.
Nineteen samples potentially doctored as part of the sample-swapping regime during the 2014 Sochi Paralympic Winter Games have been sent for further analysis.
Russia will have up to 21 days to appeal against any IPC decision, with the Rio Paralympics due to begin on 7 September.","The International Paralympic Committee (IPC) is considering banning Russia's National Paralympic Committee after a report detailed a state-sponsored doping program from 2011-2015. IPC President Philip Craven criticized the International Olympic Committee's (IOC) decision against a blanket ban, suggesting the IPC might not follow suit. He believes Russia's NPC is unwilling or unable to uphold anti-doping codes. A decision, which Russia can appeal, is expected by August 1st, ahead of the Rio Paralympics.","נייטרלי",""
"The 24-year-old spent six seasons with the north London side and has previously spent time playing in the second tier with Bedford Blues.
The Exiles have not disclosed the length of the former England under-20 international's contract.
""Ben is a great acquisition,"" director of rugby Nick Kennedy said.
""He has Championship experience which will be very useful as we gear up for what will be a very competitive campaign.""","A 24-year-old player, Ben, has joined the Exiles after six seasons with a north London side and time in the second tier with Bedford Blues. The former England under-20 international's contract length is undisclosed. Director of Rugby Nick Kennedy praised Ben as a ""great acquisition"" with valuable Championship experience, which will be crucial for the upcoming competitive campaign.","נייטרלי",""
"The team went into administration in October but, as revealed by BBC Sport, have secured investment from Stephen Fitzpatrick, boss of energy firm Ovo.
Former Sainsbury's boss Justin King has joined as interim chairman.
He said he was confident that Manor had ""the right people, the right values and sheer hard work"" and would be ""competitive at the highest level"".
King is not financially involved in the team but will take a leading role on the business side of the operation.
Fitzpatrick's investment is a personal one and the money he has put into the team does not come from Ovo.
He said: ""I have a lifelong passion for F1 and can't wait for the season ahead.""
Manor Marussia have announced Englishman Will Stevens will be one of their drivers and said a deal to sign the second would be completed soon.
The team's new car, a modified version of the 2014 model, must pass F1's mandatory crash tests before they can race at the season-opening Australian Grand Prix in Melbourne from 13-15 March.
Those tests are scheduled to take place this week.
Graeme Lowdon, who has been with the team through its various guises as Manor, Virgin and Marussia, remains as president and sporting director.
He said: ""It has been a challenging period for all of us but we've come through it and now we just want to go racing again.
""With formidable new business leadership in Stephen Fitzpatrick and the board presence of Justin King, we are now in a great place ahead of the new season. This is a fantastic and very rewarding moment for all those involved with the team.""","Manor Marussia F1, after entering administration, has secured personal investment from Ovo boss Stephen Fitzpatrick. Former Sainsbury's chief Justin King joins as interim chairman. With driver Will Stevens confirmed and their car scheduled for crash tests this week, the team is optimistic about returning to competitive racing at the Australian Grand Prix. Graeme Lowdon remains president, emphasizing their strong position for the upcoming season under new leadership.","נייטרלי",""
"The destination of a stimulus package worth nearly £39m was agreed as part of the Welsh government's budget deal with the Liberal Democrats.
Finance Minister Jane Hutt said it would help ""generate immediate benefits"" for the economy.
But Plaid Cymru said it was ""completely inadequate"" and the Conservatives said it should go to council tax payers.
Labour and the Lib Dems announced a budget deal on Friday night, ending weeks of negotiations between ministers and opposition parties.
With 30 of the assembly's 60 seats, Labour needs the help of at least one other party to approve its spending plans.
The £38.9m windfall - to be spent over two years - also formed part of budget discussions.
The money is coming down from the Treasury as a result of a council tax freeze in England.
A programme to help businesses hire young recruits is among projects receiving funding. The government said an extra £4.9m would create 1,800 more apprenticeships.
Some £9m will go towards upgrading school buildings, with the same amount spent on delivering an additional 130 homes.
The government will spend £3.5 improving roads in places where it is planning to create enterprise zones. Five parts of Wales have been earmarked as zones where businesses will get help to grow.
First Minister Carwyn Jones has said that copying the UK government by using the money to keep down council tax would not significantly benefit the economy, adding that tax bills for band D homes were lower on average in Wales.
Labour has faced criticism from opponents, particularly Plaid Cymru, for not doing enough to respond to a deteriorating economic situation.
Ms Hutt pointed to other government spending commitments, intended to help growth.
She said she had considered proposals to spend the money from across the government.
She said: ""This package builds on those actions to boost the economy and develop public services, generating immediate benefits for our economy while complementing our long term aims.""
Conservative shadow finance minister Paul Davies said he was disappointed ministers were using additional resources to ""top up"" existing policies.
He said: ""There is nothing new in this package other than a fresh attempt by Welsh Labour ministers to be seen to act on the economy, while spending money which would be better spent by taxpayers themselves.""
Welsh Lib Dem leader Kirsty Williams said her party will also work with the government on how to spend any money allocated to Wales as a result of Tuesday's Autumn Statement by Chancellor George Osborne.
""The Welsh Liberal Democrats approach will be to continue to get our economy moving and improve the quality of life for people in Wales,"" she said.
Plaid Cymru economy spokesman Alun Ffred Jones said: ""For over six months, Labour has sat back and done nothing - exposing Wales to the full force of this economic crisis.
""Now, they're trying desperately to create the impression that this small sum of money will do what's needed. Quite simply, it will not.""","The Welsh government and Liberal Democrats agreed on a £38.9m stimulus package as part of their budget deal. Aimed at boosting the economy, it will fund apprenticeships, school upgrades, new homes, and road improvements over two years. The money, from the UK Treasury, faced criticism from opposition parties. Plaid Cymru deemed it inadequate, while Conservatives argued it should go to council tax payers instead of ""topping up"" existing policies.","נייטרלי",""
"The former Tory prime minister also called for ""more charm and a lot less cheap rhetoric"" from the UK government towards the rest of the EU.
And he said the costs of leaving would be ""substantial"" and ""unpalatable"".
Downing Street said the government was determined to make a success of the UK's departure from the EU.
Conservative former cabinet minister Iain Duncan Smith said it was a ""peculiar speech in the sense that it looked backwards the whole time"".
He told BBC Newsnight: ""It was almost like a re-fight of the referendum... strangely bitter really, and almost really the speech of someone who simply refuses to accept that the British people should have made a decision such as they did.""
Prime Minister Theresa May plans to invoke Article 50 of the Lisbon Treaty, which begins two years of formal negotiations, by the end of March.
She has already confirmed the UK will not remain a member of the EU single market but will instead seek a new free trade deal with the remaining members.
In a speech in London, Sir John, who campaigned for a Remain vote in June's referendum, claimed there was ""little chance"" the advantages of being part of the EU single market could be replicated once the UK leaves.
""I have watched with growing concern as the British people have been led to expect a future that seems to be unreal and over-optimistic,"" he said.
""Obstacles are brushed aside as of no consequence, whilst opportunities are inflated beyond any reasonable expectation of delivery.""
For Theresa May, also an unflashy leader who was propelled to No 10 by a surprising political moment, Europe will be defining in a way no others could even have anticipated.
In Sir John's carefully calibrated speech, there are plenty of messages for her, some of which may be welcome, some not.
First off, having campaigned to stay in the European Union, with sober warnings particularly about the consequences for the Northern Irish peace process, it's no surprise that Sir John says that in his view, Brexit will be a ""historic mistake"".
It is notable, although again not surprising, that he cautions that the UK will be a diminished diplomatic force in the world after we walk away from the EU, with a warning too that we will be less useful to our most important ally, the US, as a consequence.
Also, even as the PM who lived through the Commons trauma of trying to deliver the Maastricht Treaty, it is logical that he calls for Parliament to have a full role in shaping the negotiations over our place in Europe.
What may be harder for No 10 to dismiss is Sir John's obvious political concern about how the public is being treated in the months after the referendum decision.
Read more from Laura
Sir John said Brexit talks require ""statesmanship of a high order"" and warned of a ""real risk"" of the exit deal falling ""well below the hopes and expectations"" that have been raised, saying he doubted the ""rosy confidence being offered to the British people"".
""In my own experience, the most successful results are obtained when talks are conducted with goodwill: it is much easier to reach agreement with a friend than a quarrelsome neighbour.
""Behind the diplomatic civilities, the atmosphere is already sour. A little more charm, and a lot less cheap rhetoric, would do much to protect the UK's interests.""
He also said the ""cheerleaders"" for Brexit had shown a ""disregard that amounts to contempt"" towards those that backed the losing side.
And he said the UK would become ""far more dependent"" on the US after it leaves the EU, describing President Donald Trump as ""less predictable, less reliable and less attuned to our free market and socially liberal instincts than any of his predecessors"".
Sir John, who as prime minister between 1990 and 1997 oversaw the start of the Northern Ireland peace process, warned that ""uncertainties over border restrictions"" after Brexit were ""a serious threat to the UK, to the peace process and for Ireland, North and South"".
The ex-PM, who faced battles with Eurosceptic MPs during his time in Downing Street, also said Mrs May would have to ""face down"" people calling for ""total disengagement"" from Europe.
But the Leave Means Leave campaign hit back, recalling Sir John's famous ""don't bind my hands"" plea to Tory Eurosceptics ahead of EU talks and saying he was now ""seeking to do just this to the British prime minister ahead of negotiations with the EU"".
Conservative MP Jacob Rees-Mogg added: ""It was a craven and defeated speech of a bitter man who was heavily defeated by the electorate for his own failings in Europe in 1997, was defeated again last June and now wishes to take out his failures on Mrs May.""","Former PM Sir John Major criticized Brexit as a ""historic mistake,"" warning of ""substantial"" costs, a diminished UK, and a threat to the Northern Ireland peace process. He urged the government to show ""more charm and a lot less cheap rhetoric"" towards the EU, fearing the public is being misled by ""unreal and over-optimistic"" expectations. Downing Street remains determined to make Brexit a success, while critics dismissed Major's ""bitter"" speech as backward-looking and a refusal to accept the referendum result.","נייטרלי",""
"Work and Pensions Secretary Iain Duncan Smith said Labour - which is opposing the cap - was ""in denial"" over the state of the economy.
But Labour argued the cap would be a ""hit and run"" on working families.
Benefits have historically risen in line with the rate of inflation. The Commons vote is due at 19:00 GMT.
The House of Commons is debating the Welfare Benefits Uprating Bill, which would keep benefit rises to 1% for three years from next April.
The coalition argues this is necessary to reduce the deficit, and is fair at a time when public sector pay is being capped and salaries in the private sector are rising below the rate of inflation.
But Labour, which opposes the cap, says it will result in a real-terms cut in support for millions of working people.
Some Lib Dem MPs, including David Ward, John Leech, Julian Huppert and former minister Sarah Teather, are expected to rebel against the government while others - including Julian Huppert - could abstain.
Mr Leech, MP for Manchester Withington, said he found it ""objectionable that the Tories are using 'skivers versus strivers' rhetoric to justify a cut to seven million working families"".
Despite the concerns of some Lib Dems, the coalition is thought likely to win the vote.
Legislation is needed to implement changes announced by Chancellor George Osborne in last month's Autumn Statement - to cap increases in jobseeker's allowance, employment and support allowance, income support and elements of housing benefit.
The cap would also apply to maternity allowance, sick pay, maternity pay and paternity pay as well as the couple and lone parent elements of the working tax credit and the child element of the child tax credit.
These benefits traditionally rise in line with consumer prices in an annual process known as ""uprating"".
By Ross HawkinsPolitical correspondent, BBC News
Glance at the spreadsheets and the scale of the saving is apparent.
Figures in the Autumn Statement show raising many benefits and tax credits by 1% a year will save £2.8bn in 2015/16, compared with the government's previous plans.
The overall welfare budget in 2011/12, as calculated by the Institute for Fiscal Studies, is £201bn.
The political debate will centre on who should feel the pain.
Jobseekers Allowance totals 2.4% of the total bill, according to the IFS. Benefits for those on low incomes make up just under 21%.
Those for elderly people, including the state pension, make up over 42%.
The estimated value of fraud and error overpayments in benefit expenditure in 2011-12 is £3.2 billion.
They increased 5.2% this year and without the planned change would have been set to rise by 2.2% - the rate of CPI inflation last September, on which the figure is calculated. The rate of inflation has since risen to 2.7%.
During lively scenes in Parliament, Mr Duncan Smith said: ""The number one priority now is reducing the deficit that they [Labour] left us - the biggest deficit since the Second World War.""
He added that the gap between the rate of income inflation between workers and the unemployed had ""grown"" in the last few years.
""These are decisions that we are not taking easily but these are circumstances that they [Labour] are in denial about,"" Mr Duncan Smith said.
For Labour, shadow work and pensions secretary Liam Byrne accused the government of presiding over an increase in unemployment.
But Mr Duncan Smith said this was not the case and that the US and other European countries were faring worse than the UK.
Mr Byrne said the government was showing ""contempt"" by trying to ""ram this bill through the House in just one day"".
He added: ""It's turning into a hit-and-run on working families and we should not stand for it.""
Green Party MP Caroline Lucas said: ""Isn't the truth of this that it's a mean and miserable piece of legislation from a mean and miserable government?""
Sarah Teather, who was replaced as an education minister in last autumn's government reshuffle, said she would oppose the bill ""with a heavy heart"" because it was ""disingenuous"" to try to ""find someone to blame for our own woes"".
""A fissure already exists between the working and non-working poor,"" she told MPs. ""Hammering on that fault line with the language of 'shirkers and strivers' will have long-term impacts on public attitudes, on attitudes of one neighbour against another.
""It will make society less generous, less sympathetic, less able to co-operate.""
However, Lib Dem deputy leader Simon Hughes told the House: ""It's difficult but the government has got the right and I believe, after this parliament, it will be vindicated by getting more people in work and fewer out of work.""
David Cameron's official spokesman said: ""The prime minister's view is that the welfare system has to be brought back under control. The measures that the government has been taking, ever since the government came to power, have been designed to that end.""
The BBC's political correspondent Gary O'Donoghue said an ""impact assessment"" published by the government suggested single parents would be most affected by the cap - losing £5 a week or about £250 over the three year period.
The majority of working age households in receipt of state support are likely be an average of £3 a week worse off.","The House of Commons is debating the Welfare Benefits Uprating Bill, which caps benefit increases to 1% for three years from next April. The coalition government argues this is crucial for deficit reduction and fairness, given public sector pay caps. Labour strongly opposes it, calling it a ""hit and run"" that will result in real-terms cuts for millions of working families. The measure is expected to save £2.8bn, primarily affecting single parents and working-age households. Despite some Liberal Democrat rebels, the government is likely to win the vote.","נייטרלי",""
"Network Rail and Thames Water engineers are at the scene after the hole appeared in Forest Hill on Monday.
The disruption is expected to last until Wednesday, with Southern, Thameslink and London Overground services affected.
Thames Water said a sewer under the track had collapsed.
It said the repair work was ""extremely complex"" and that engineers had located the problem section of the sewer and were working to seal it.
Dry concrete has been put into the hole, forming a base to pour wet concrete on top. Once it has set, about 50 tonnes of ballast will be inserted, with the aim of opening the railway on Wednesday.
Network Rail has closed all four lines between East Croydon and London Bridge, meaning Southern services to London Bridge are either cancelled or diverted.
London Overground services are not running between West Croydon/Crystal Palace and New Cross Gate.
Carl Leadbetter, Thames Water's regional network manager, said: ""Our teams continue to work as fast as possible on this critical job.
""While we need to work quickly to reopen the train lines, we also need to consider local residents, who will potentially suffer from sewer flooding if the pipe is not properly enclosed.
""This is an extremely complex job as the pipe is in a difficult location in the tracks and six metres below the ground.""
Network Rail apologised for the delays and said it was working ""as hard as possible"" to get the problem fixed by Wednesday morning's rush hour.
Spokesman Chris Denham said the hole ""couldn't be in a worse place"".
""This is a massive piece of railway,"" he told BBC Radio London. ""It's the equivalent of shutting the A2 out of London in the morning. It's absolutely huge.""
Some passengers expressed their frustration on social media, mentioning how the problem occurred on the hottest day of the year so far.
Elsewhere in London, high temperatures have been disrupting trains between the city and the West, with speeds being cut over fears of rails buckling.
Trains coming out of Paddington, Euston and Liverpool Street all saw severe disruption.
And Southern services heading to Brighton from Victoria were heavily disrupted following a track failure in the Gatwick area.
It comes as commuters have experienced months of cancellations and delays on Southern trains due to an RMT dispute.
New rail minister Paul Maynard will appear before the Commons Transport Select Committee on Wednesday to give evidence on the Department for Transport's role in the issue.
For more details on this story, please tune into BBC Radio London and follow @BBCTravelAlert on Twitter.","A collapsed sewer has created a significant hole under railway tracks in Forest Hill, severely disrupting Southern, Thameslink, and London Overground services between East Croydon and London Bridge. Network Rail and Thames Water engineers are undertaking ""extremely complex"" repairs to seal the sewer, then fill the hole with concrete and ballast. Described as a ""massive piece of railway,"" the disruption is expected to last until Wednesday, with services aiming to reopen for the morning rush hour.","נייטרלי",""
"Everton had won on their last four visits to City - and for an hour frustration was in the air again as they mounted a wall of well-organised resistance that kept Roberto Mancini's side at bay.
The introduction of substitute Mario Balotelli on the hour led to the breakthrough as he scored with a deflected shot after 68 minutes and finally unsettled Everton with an impressive cameo.
It was the type of result and performances that adds weight to the argument that City will mount a serious title challenge this season
Read more of the blog
James Milner, another second-half substitute, added the second with two minutes left from David Silva's sublime pass to allow City to move top of the Premier League ahead of Manchester United's visit to Stoke City.
And it was a win City deserved for demonstrating the patience and persistence they will need as Everton's dour approach is likely to be mirrored by plenty of sides who will attempt to suppress City's wide range of attacking options at Etihad Stadium.
Media playback is not supported on this device
Everton's tactics appeared designed to secure a draw and perhaps aim to take an isolated chance on the break.
But David Moyes' side were undermined by a failure to offer anything in attack, although substitute Louis Saha - and his manager - were rightly infuriated when referee Howard Webb failed to award a free-kick when he was blatantly fouled on the edge of the area by Vincent Kompany with the game still in the balance.
Moyes also believed Everton had been the victims of injustice in the build-up to Balotelli's crucial goal, claiming City were wrongly awarded a throw in.
Mancini will relish the manner of this win as much as other victories earned in real style this season. Everton offered a stern test and City showed growing maturity to get the three points.
Everton's superbly drilled defensive formation offered nothing other than frustration to City in the first half as they stood firm.
Moyes had clearly earmarked Silva as central to City's threat and he deployed youngster Jack Rodwell to man-mark the Spaniard. And when he received a yellow card for a foul on Silva responsibility briefly switched to Phil Neville, until he drew similar punishment from referee Webb after a clash with Silva.
Sergio Aguero was City's main threat in the early exchanges, but it was the 53rd minute before Everton posed a serious threat as Tim Cahill's header from Seamus Coleman's cross floated over the bar.
It was only when Balotelli came on for Edin Dzeko on the hour that City made serious inroads into the Everton defence. Samir Nasri had a shot well saved by Tim Howard before the Italian broke the deadlock seven minutes after his introduction.
Balotelli's finish from the edge of the area was measured and also took a decisive touch off Everton defender Phil Jagielka to send the ball tantalisingly out of Howard's reach into the bottom corner.
Media playback is not supported on this device
The visitors now needed to shift the entire emphasis of their approach, but City were playing with renewed confidence and Silva hit the woodwork with Howard beaten.
Balotelli was then narrowly off target before setting up Silva for a tap-in, only for the goal to be ruled out for offside.
Silva was at his creative best as City wrapped up the win with one minute left. Everton substitute Royston Drenthe lost possession in midfield and Silva threaded through a perfect invitation for Milner to slide his finish past Howard.
Everton had offered next to nothing in terms of attacking threat, although another City substitute Stefan Savic made a timely intervention in injury time to clear Marouane Fellaini's shot off the line.
Live text commentary","Manchester City defeated Everton 2-0, moving to the top of the Premier League. Everton initially mounted a strong, well-organised resistance, frustrating City for an hour. Substitute Mario Balotelli broke the deadlock with a deflected shot, followed by James Milner adding a second goal from David Silva's assist. The win, demonstrating City's patience and persistence against Everton's defensive tactics, bolstered arguments for their serious title challenge this season. Everton offered little attacking threat and felt aggrieved by refereeing decisions.","נייטרלי",""
"Nicola Sturgeon told MSPs a target to reduce six week delays in discharging patients had been delivered.
But Labour said it had not been met for more than three years, and called for her to amend the record.
Ms Sturgeon's office said she would not be revising her remarks because the six-week target had been met in the past.
Delayed discharge - sometimes referred to as bed blocking - is when a patient is not released from hospital despite being clinically well enough to be discharged, often because of a lack of care of care services.
Ms Sturgeon faced criticism over the issue during first minister's questions in the Scottish Parliament, with Scottish Labour leader Kezia Dugdale saying that people had remained in hospital for a total of 612,000 days last year when they were well enough to go home.
She said Ms Sturgeon had told the SNP conference in 2011 that patients spent 200,000 days in a hospital bed when they did not need to.
Ms Dugdale added: ""That means it has more than trebled under the SNP government since this first minister admitted there was something badly wrong. So, by any measure that is unacceptable.
""That is thousands of patients, the majority of whom are elderly, ready to go back home or into the community but can't because the extra support they need just isn't there.""
She also claimed that delayed discharge got worse during the peak of summer despite Health Secretary Shona Robison saying in February that she wanted to ""completely eradicate"" the problem.
The substance is this. In the middle of a flood of stats, Ms Sturgeon said: ""Having delivered the target of zero delays over six weeks, we have progressively toughened that target.""
A delay of that duration, for the avoidance of doubt, involves a patient being kept in hospital for at least six weeks longer than clinically necessary, generally because no alternative care is available.
Dr Simpson said he had checked with parliament's own information centre. Based on that research, allied to his own knowledge, he believed the First Minister's remarks were misleading.
According to Labour, Scotland's patients had not enjoyed ""zero delays over six weeks"" for three years. That is, there had been patients during that three-year period who had stayed more than six weeks in hospital beyond potential discharge.
The immediate response from the First Minister's office is that the target - of zero delays over six weeks - had been met in the past. The general tenor of her remarks was that matters were improving - while there remained more to be done.
Dr Simpson has now, in effect, suggested that Ms Sturgeon might reconsider that stance.
Read more from Brian
Ms Sturgeon responded by acknowledging that there was still work to do, but said ""real progress"" was being made.
She later added: ""Since 2007 there's been a 52% reduction in delays over four weeks, a 55% reduction in delays over six weeks, the number of delays over three days is down by 50%, the number of delays over four weeks has been reduced as well.
""Having delivered the target of zero delays over six weeks, we've progressively toughened that target and we're now focusing on ensuring patients are discharged within 72 hours.""
That comment drew an angry response from Labour MSP Dr Richard Simpson, who subsequently made a formal point of order to the presiding officer.
Dr Simpson said that the six-week target had been missed in every month since 2012.
He also said that official statistics showed that more than 4,700 patients had been delayed more than six weeks despite being fit to leave since 2012, and nearly 400 in the past two months alone.
Dr Simpson added: ""We all know that nationalist rhetoric is divorced from reality but this is completely unacceptable.  It was completely wrong to claim that these targets had been met when in reality thousands of patients had waited in hospital beds.
""Our NHS is in real trouble. The health minister pledged to abolish delayed discharge by the end of the year. Instead it is going in the wrong direction. Meanwhile we see the first minister is making completely false claims about her government's record.
""Patients and staff don't benefit from bogus claims about NHS performance. The first minister should correct the record, and this SNP government should get a grip of delayed discharge rather than bury their heads in the sand.""
But a Scottish government spokeswoman said: ""The first minister was correct that the old six week target was met, on a number of occasions, under this government.
""Subsequently, the Scottish government introduced new tougher targets that no patient should wait more than four weeks, and later two weeks, from when they are clinically ready for discharge.
""Working with our partners in local government we've made the level of performance we expect tougher still, with an ambition for patients to be delayed for no more than 72 hours.""","Nicola Sturgeon claimed a target to reduce patient discharge delays over six weeks had been delivered. Labour challenged this, citing official statistics showing the target hasn't been met for years, with thousands of patients experiencing such ""bed blocking,"" and urged her to correct the record. Sturgeon's office maintained the *old* six-week target was met *in the past* and that tougher, more recent targets are now in place, despite ongoing ""real progress.""","נייטרלי",""
